t,gt_x,gt_y,odom_x,odom_y,ekf_x,ekf_y,ekf_theta,Pxx,Pxy,Pxt,Pyy,Pyt,Ptt,lambda_min,warn
3.22,1.45309,0.9,1.45187,0.898223,1.44586,0.937327,-0.00378841,0.00217111,-3.82268e-06,1.08938e-06,0.00112605,0.00027655,0.000477759,1.22692e+06,0
3.24,1.46309,0.9,1.46152,0.898232,1.4555,0.937291,-0.00449256,0.00219839,-3.90521e-06,1.10691e-06,0.00113143,0.00028118,0.00047989,1.22692e+06,0
3.26,1.47309,0.9,1.47188,0.898238,1.46586,0.937244,-0.00444407,0.00222952,-4.02031e-06,1.12933e-06,0.0011373,0.000286175,0.000482022,1.22692e+06,0
3.28,1.48309,0.9,1.48195,0.898242,1.47594,0.9372,-0.00488423,0.00225909,-4.1273e-06,1.15099e-06,0.00114312,0.000291055,0.000484156,1.22692e+06,0
3.3,1.49309,0.9,1.49203,0.898245,1.48601,0.93715,-0.00468446,0.00228866,-4.24557e-06,1.1749e-06,0.00114903,0.000295957,0.000486293,1.22692e+06,0
3.32,1.50309,0.9,1.50253,0.898244,1.49651,0.937101,-0.00569395,0.00232058,-4.36794e-06,1.19891e-06,0.0011553,0.000301088,0.000488431,1.22692e+06,0
3.34,1.51309,0.9,1.51241,0.89823,1.50893,0.936697,-0.00666124,0.00220481,-4.11568e-06,1.17077e-06,0.00112172,0.000292237,0.000481407,1.19146e+06,0
3.36,1.52309,0.9,1.52305,0.898202,1.51958,0.936626,-0.00722027,0.00223755,-4.30024e-06,1.205e-06,0.001128,0.000297386,0.000483547,1.19146e+06,0
3.38,1.53309,0.9,1.53254,0.898181,1.52906,0.936558,-0.00593476,0.00226401,-4.45916e-06,1.23822e-06,0.00113369,0.000301999,0.000485689,1.19146e+06,0
3.4,1.54309,0.9,1.54287,0.898164,1.53939,0.936496,-0.00621589,0.00229495,-4.61119e-06,1.26808e-06,0.00113998,0.00030704,0.000487833,1.19146e+06,0
3.42,1.55309,0.9,1.55338,0.898147,1.5499,0.936431,-0.00584431,0.00232693,-4.77623e-06,1.30006e-06,0.00114649,0.000312194,0.000489978,1.19146e+06,0
3.44,1.56309,0.9,1.56359,0.898133,1.56271,0.935989,-0.00576039,0.0022122,-4.50027e-06,1.27041e-06,0.00111369,0.000303077,0.000482736,1.09924e+06,0
3.46,1.57309,0.9,1.57327,0.898118,1.57239,0.935934,-0.00674555,0.00223965,-4.62891e-06,1.29743e-06,0.0011196,0.000307776,0.000484884,1.09924e+06,0
3.48,1.58309,0.9,1.58385,0.898096,1.58297,0.935862,-0.00656973,0.00227202,-4.81125e-06,1.33215e-06,0.00112617,0.000312934,0.000487033,1.09924e+06,0
3.5,1.59309,0.9,1.59404,0.898077,1.59316,0.935795,-0.00637753,0.00230221,-4.97472e-06,1.36487e-06,0.0011326,0.000317925,0.000489185,1.09924e+06,0
3.52,1.60309,0.9,1.60307,0.898066,1.60219,0.935738,-0.00541372,0.00232639,-5.09802e-06,1.39318e-06,0.00113838,0.000322374,0.000491338,996273,0
3.54,1.61309,0.9,1.61291,0.898063,1.61415,0.935273,-0.00451765,0.00220969,-4.77101e-06,1.35733e-06,0.00110588,0.00031269,0.000483892,996273,0
3.56,1.62309,0.9,1.62247,0.898066,1.6237,0.93523,-0.00410115,0.00223649,-4.86544e-06,1.37834e-06,0.0011119,0.000317342,0.000486047,996273,0
3.58,1.63309,0.9,1.63233,0.898074,1.63356,0.935189,-0.00265535,0.00226493,-4.95543e-06,1.39814e-06,0.00111821,0.000322167,0.000488204,996273,0
3.6,1.64309,0.9,1.64217,0.898084,1.64341,0.935163,-0.00385465,0.00229325,-5.00833e-06,1.41103e-06,0.0011246,0.000327004,0.000490363,996273,0
3.62,1.65309,0.9,1.65241,0.898094,1.65602,0.934654,-0.00290403,0.00218267,-4.66351e-06,1.36826e-06,0.00109321,0.000317422,0.000482868,884527,0
3.64,1.66309,0.9,1.66248,0.898112,1.66609,0.934624,-0.00267753,0.00221222,-4.7261e-06,1.38251e-06,0.00109965,0.000322316,0.000485028,884527,0
