t,gt_x,gt_y,odom_x,odom_y,ekf_x,ekf_y,ekf_theta,Pxx,Pxy,Pxt,Pyy,Pyt,Ptt,lambda_min,warn
2.122,0.980053,0.9,0.981238,0.900264,0.948264,0.937602,-0.000993881,0.00217528,-4.69981e-07,9.14263e-08,0.00140385,0.000155566,0.000448415,2.22228e+06,0
2.142,0.990053,0.9,0.991258,0.900269,0.958285,0.937592,-0.00133433,0.00220455,-4.96564e-07,9.58963e-08,0.00140702,0.000160065,0.000450472,2.22228e+06,0
2.162,1.00005,0.9,1.00185,0.900272,0.968873,0.937577,-0.00151025,0.00223697,-5.36485e-07,1.02265e-07,0.00141046,0.000164841,0.000452531,2.22228e+06,0
2.182,1.01005,0.9,1.0117,0.900274,0.978724,0.937563,-0.00138611,0.00226533,-5.75792e-07,1.09003e-07,0.00141375,0.000169306,0.000454591,2.22228e+06,0
2.202,1.02005,0.9,1.02204,0.900283,0.98907,0.937548,-0.000180755,0.00229639,-6.15215e-07,1.15527e-07,0.0014173,0.000174016,0.000456652,2.22228e+06,0
2.222,1.03005,0.9,1.03256,0.900295,1.00255,0.937954,-0.00114736,0.00218703,-5.66521e-07,1.11671e-07,0.00136488,0.000169833,0.000452022,2.06781e+06,0
2.242,1.04005,0.9,1.04326,0.900307,1.01324,0.937942,-0.00032311,0.00222008,-6.01101e-07,1.17224e-07,0.00136856,0.000174676,0.000454085,2.06781e+06,0
2.262,1.05005,0.9,1.05298,0.900321,1.02296,0.937939,-0.000536516,0.00224775,-6.08341e-07,1.18656e-07,0.001372,0.000179098,0.00045615,2.06781e+06,0
2.282,1.06005,0.9,1.06345,0.900338,1.03343,0.937933,4.89997e-06,0.0022795,-6.23097e-07,1.21224e-07,0.0013758,0.00018388,0.000458216,2.06781e+06,0
2.302,1.07005,0.9,1.07342,0.90036,1.04341,0.937933,0.000519329,0.00230851,-6.21755e-07,1.21207e-07,0.00137951,0.000188458,0.000460284,2.06781e+06,0
2.322,1.08005,0.9,1.08314,0.900388,1.05313,0.937938,0.00158097,0.00233618,-6.07181e-07,1.18889e-07,0.00138322,0.000192941,0.000462353,2.06781e+06,0
