t,gt_x,gt_y,odom_x,odom_y,ekf_x,ekf_y,ekf_theta,Pxx,Pxy,Pxt,Pyy,Pyt,Ptt,lambda_min,warn
3.666,1.52103,0.9,1.52467,0.899934,1.52025,0.935568,-0.00953553,0.00226187,-4.42648e-06,9.66485e-07,0.00114822,0.0002925,0.000478754,1.20252e+06,0
3.686,1.53103,0.9,1.53426,0.8999,1.52983,0.935476,-0.00974301,0.00228884,-4.64724e-06,1.01036e-06,0.00115388,0.000297113,0.000480885,1.20252e+06,0
3.706,1.54103,0.9,1.54428,0.899864,1.53985,0.935378,-0.00977443,0.00231811,-4.8928e-06,1.05742e-06,0.00115988,0.000301955,0.000483019,1.20252e+06,0
3.726,1.55103,0.9,1.55401,0.899831,1.55244,0.934965,-0.00941576,0.00220188,-4.68819e-06,1.06216e-06,0.00112593,0.00029295,0.000476123,1.10613e+06,0
3.746,1.56103,0.9,1.56412,0.899795,1.56255,0.93487,-0.0104127,0.0022316,-4.92903e-06,1.10758e-06,0.0011319,0.000297784,0.000478258,1.10613e+06,0
3.766,1.57103,0.9,1.57462,0.899747,1.57304,0.93476,-0.011418,0.00226352,-5.21663e-06,1.15999e-06,0.00113821,0.00030283,0.000480395,1.10613e+06,0
3.786,1.58103,0.9,1.5845,0.899688,1.58293,0.934647,-0.0130909,0.00229205,-5.49617e-06,1.21433e-06,0.00114425,0.000307602,0.000482534,1.10613e+06,0
3.806,1.59103,0.9,1.59417,0.89963,1.59259,0.934521,-0.0116778,0.00231942,-5.80331e-06,1.27553e-06,0.00115024,0.000312291,0.000484675,1.10613e+06,0
3.826,1.60103,0.9,1.60489,0.899568,1.60569,0.934144,-0.0126433,0.00220849,-5.62079e-06,1.28676e-06,0.00111752,0.000303373,0.00047757,1.013e+06,0
3.846,1.61103,0.9,1.61522,0.899503,1.61601,0.934014,-0.0129307,0.00223943,-5.95842e-06,1.34926e-06,0.00112385,0.000308329,0.000479713,1.013e+06,0
3.866,1.62103,0.9,1.62573,0.899437,1.62652,0.933878,-0.0125594,0.0022714,-6.31511e-06,1.41461e-06,0.00113038,0.000313397,0.000481857,1.013e+06,0
3.886,1.63103,0.9,1.63591,0.899376,1.6367,0.93375,-0.0121694,0.00230153,-6.63847e-06,1.47639e-06,0.00113682,0.000318329,0.000484004,1.013e+06,0
3.906,1.64103,0.9,1.64534,0.899319,1.64613,0.933635,-0.0128711,0.00232769,-6.90588e-06,1.53211e-06,0.00114287,0.000322921,0.000486152,1.013e+06,0
3.926,1.65103,0.9,1.65543,0.89925,1.65784,0.933122,-0.0138495,0.00221222,-6.61264e-06,1.53667e-06,0.00111025,0.000313291,0.000478833,890420,0
3.946,1.66103,0.9,1.66554,0.899175,1.66795,0.932982,-0.0141424,0.00224196,-6.96446e-06,1.60389e-06,0.00111664,0.000318158,0.000480984,890420,0
3.966,1.67103,0.9,1.67609,0.899093,1.67849,0.932833,-0.0144981,0.00227413,-7.35436e-06,1.67582e-06,0.00112341,0.000323258,0.000483136,890420,0
3.986,1.68103,0.9,1.68592,0.899021,1.68833,0.932691,-0.0133541,0.00230242,-7.7012e-06,1.74494e-06,0.00112982,0.00032804,0.00048529,890420,0
4.006,1.69103,0.9,1.69548,0.898955,1.69788,0.932563,-0.0135408,0.00232922,-7.99999e-06,1.80708e-06,0.00113614,0.000332707,0.000487446,890420,0
4.026,1.70103,0.9,1.7063,0.898874,1.71061,0.932096,-0.0146543,0.00221764,-7.67447e-06,1.80997e-06,0.00110443,0.000323046,0.000479927,853749,0
4.046,1.71103,0.9,1.71561,0.898799,1.71992,0.93196,-0.0147347,0.00224317,-7.9872e-06,1.87567e-06,0.00111049,0.000327543,0.000482085,853749,0
4.066,1.72103,0.9,1.72627,0.898719,1.73059,0.931802,-0.0134214,0.00227604,-8.39922e-06,1.95169e-06,0.00111754,0.000332716,0.000484245,853749,0
4.086,1.73103,0.9,1.73634,0.898652,1.74066,0.931667,-0.0131763,0.00230558,-8.73042e-06,2.0174e-06,0.0011243,0.000337624,0.000486407,853749,0
4.106,1.74103,0.9,1.74598,0.898584,1.75029,0.93154,-0.0143459,0.00233282,-9.02643e-06,2.07944e-06,0.00113085,0.000342345,0.000488571,853749,0
4.126,1.75103,0.9,1.75618,0.898499,1.76224,0.931098,-0.0155991,0.00221725,-8.58265e-06,2.07251e-06,0.00109908,0.000332005,0.000480853,831702,0
4.146,1.76103,0.9,1.76589,0.898415,1.77195,0.930946,-0.0150358,0.00224488,-8.94257e-06,2.14565e-06,0.00110558,0.000336708,0.000483018,831702,0
4.166,1.77103,0.9,1.77606,0.898332,1.78212,0.930793,-0.0147766,0.00227495,-9.32065e-06,2.21979e-06,0.00111249,0.000341652,0.000485186,831702,0
4.186,1.78103,0.9,1.78656,0.89825,1.79261,0.930638,-0.0141915,0.00230687,-9.71524e-06,2.29538e-06,0.00111972,0.00034678,0.000487356,831702,0
4.206,1.79103,0.9,1.79716,0.898169,1.80321,0.930488,-0.0145093,0.00233935,-1.00989e-05,2.369e-06,0.00112713,0.00035198,0.000489528,831702,0
4.226,1.80103,0.9,1.80754,0.89809,1.81534,0.930062,-0.0143219,0.00222403,-9.57289e-06,2.35391e-06,0.00109573,0.000341339,0.000481611,805786,0
